ind	sex	group	ref_genome	raw_file
AB_17A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474897_1.fastq.gz
AB_17A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474897_2.fastq.gz
AB_24A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474898_1.fastq.gz
AB_24A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474898_2.fastq.gz
AB_24B	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474895_1.fastq.gz
AB_24B	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474895_2.fastq.gz
AL_12B	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474896_1.fastq.gz
AL_12B	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474896_2.fastq.gz
AL_12C	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474893_1.fastq.gz
AL_12C	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474893_2.fastq.gz
AL_12D	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474894_1.fastq.gz
AL_12D	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474894_2.fastq.gz
AT_19	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474891_1.fastq.gz
AT_19	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474891_2.fastq.gz
AT_23A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474892_1.fastq.gz
AT_23A	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474892_2.fastq.gz
AT_23C	M	horses	../data/ref_t2t/GCF_041296265.1_TB-T2T_genomic.fna	../data/pe/SRR6474889_1.fastq.gz
