region	chrom	start	end	batch	female_ploidy	male_ploidy
chr1	NC_009144.3	0	188260577	0	2	2
chr2	NC_009145.3	0	121350024	0	2	2
chr3	NC_009146.3	0	121351753	0	2	2
chr4	NC_009147.3	0	109462549	0	2	2
chr5	NC_009148.3	0	96759418	1	2	2
chr6	NC_009149.3	0	87230776	1	2	2
chr7	NC_009150.3	0	100787686	1	2	2
chr8	NC_009151.3	0	97563019	1	2	2
chr9	NC_009152.3	0	85793548	1	2	2
chr10	NC_009153.3	0	85155674	1	2	2
chr11	NC_009154.3	0	61676917	1	2	2
chr12	NC_009155.3	0	36992759	1	2	2
chr13	NC_009156.3	0	43784481	2	2	2
chr14	NC_009157.3	0	94600235	2	2	2
chr15	NC_009158.3	0	92851403	2	2	2
chr16	NC_009159.3	0	88962352	2	2	2
chr17	NC_009160.3	0	80722430	2	2	2
chr18	NC_009161.3	0	82641348	2	2	2
chr19	NC_009162.3	0	62681739	2	2	2
chr20	NC_009163.3	0	65343332	2	2	2
chr21	NC_009164.3	0	58984458	3	2	2
chr22	NC_009165.3	0	50928189	3	2	2
chr23	NC_009166.3	0	55556184	3	2	2
chr24	NC_009167.3	0	48288683	3	2	2
chr25	NC_009168.3	0	40282968	3	2	2
chr26	NC_009169.3	0	43147642	3	2	2
chr27	NC_009170.3	0	40254690	3	2	2
chr28	NC_009171.3	0	47348498	3	2	2
chr29	NC_009172.3	0	34776120	3	2	2
chr30	NC_009173.3	0	31395959	3	2	2
chr31	NC_009174.3	0	26001039	3	2	2
PAR	NC_009175.3	0	2071050	3	2	2
chrX	NC_009175.3	2071050	128206784	3	2	1   
