region	chrom	start	end	batch	female_ploidy	male_ploidy
chr1	NC_091684.1	0	199560798	0	2	2
chr2	NC_091685.1	0	126756713	0	2	2
chr3	NC_091686.1	0	125508388	0	2	2
chr4	NC_091687.1	0	113754244	0	2	2
chr5	NC_091688.1	0	105154058	1	2	2
chr6	NC_091689.1	0	99223387	1	2	2
chr7	NC_091690.1	0	100966422	1	2	2
chr8	NC_091691.1	0	102523008	1	2	2
chr9	NC_091692.1	0	98976748	1	2	2
chr10	NC_091693.1	0	91400425	1	2	2
chr11	NC_091694.1	0	61566247	1	2	2
chr12	NC_091695.1	0	50450047	1	2	2
chr13	NC_091696.1	0	53943766	2	2	2
chr14	NC_091697.1	0	109711571	2	2	2
chr15	NC_091698.1	0	107321250	2	2	2
chr16	NC_091699.1	0	98824009	2	2	2
chr17	NC_091700.1	0	101335605	2	2	2
chr18	NC_091701.1	0	83294675	2	2	2
chr19	NC_091702.1	0	70216923	2	2	2
chr20	NC_091703.1	0	67666725	2	2	2
chr21	NC_091704.1	0	72807114	3	2	2
chr22	NC_091705.1	0	51040807	3	2	2
chr23	NC_091706.1	0	68952953	3	2	2
chr24	NC_091707.1	0	60690812	3	2	2
chr25	NC_091708.1	0	47890729	3	2	2
chr26	NC_091709.1	0	48862945	3	2	2
chr27	NC_091710.1	0	57703169	3	2	2
chr28	NC_091711.1	0	51691651	3	2	2
chr29	NC_091712.1	0	44861072	3	2	2
chr30	NC_091713.1	0	38719181	3	2	2
chr31	NC_091714.1	0	26067870	3	2	2
chrX	NC_091715.1	0	146127322	3	2	1
MT	NC_091244.1	0	16624	3	1	1
